ID_PARCEL,SURF_PARC,CODE_CULTU_2018,CODE_CULTU_2019,CODE_CULTU_2020
6860230,4.81,BTH,BTH,TRN
6813844,3,BTH,MIS,BTH
6813843,2.33,BTH,MIS,TRN
6810524,2.55,MIE,MIE,MCR
6810537,0.78,PTR,PTR,PTR
6810536,0.9,BTH,BTH,PTR
6810440,1.39,BTH,MIE,PTR
6810449,3.06,BTH,BTH,TTH
6810531,1.26,TTH,SOG,FAG
6810529,1.42,BTH,SOG,FAG
6810538,2.82,MIE,BTH,TTH
6810544,2.59,BTH,MIE,FAG
6810450,1.17,SOG,SOG,TTH
6862057,1.7,PTR,PTR,TTH
6810530,1.15,TTH,SOG,FAG
6810442,2.15,BTH,MIE,BTH
6823160,2.95,BTH,BTP,SGH
6814886,0.46,PTR,PTR,PTR
6765402,0.23,TTH,FAG,TTH
10910345,1.43,MIS,BTH,BTH
6798934,4.22,PTR,BDH,BDH
6799014,2.95,BDH,BDH,TTH
6798935,1.7,PTR,PTR,PTR
6798925,1.19,AVH,BDH,PTR
6886347,0.95,BTH,MIS,BTH
6886452,1.98,MIS,BTH,MIS
10897226,2.68,PTR,PTR,PTR
6897232,0.14,MCR,PTR,TTH
6897225,0.6,MCR,MCR,TTH
6881487,1.24,BTH,BTH,TRN
6881494,0.32,MIS,BTH,BTH
6881481,0.61,MIS,BTH,BTH
6881477,1.78,BTH,BTH,TRN
10910307,1.83,PTR,PTR,PTR
10910306,1,BTH,BTH,ORH
6881479,3.68,BTH,BTH,MIS
6774821,2.79,BTH,TRN,BTH
6774818,1.08,BTH,TRN,BTH
6873391,2.56,BTH,TTH,LUZ
10889735,2.09,BTH,BTH,BTH
6873383,2.04,MLG,MLG,MLG
10889515,3.88,MLG,MLG,MLG
6873400,3.08,TTH,TTH,TTH
10889519,5.55,TTH,MLG,MLG
6763387,1.73,BTH,BTH,BTH
6763383,0.42,BTH,BTH,BTH
6763307,0.54,BTH,MIS,BTH
6763386,1,BTH,MIS,BTH
6763382,1.18,BTH,MIS,BTH
6763308,1.25,BTH,MIS,BTH
6763309,1.66,MIS,BTH,MIS
10893041,13.08,MIS,MIS,MIS
10893043,2.63,BTH,MIS,BTH
6806608,8.52,MIS,BTH,LUZ
6806704,6.09,BTH,TTH,TRN
6873389,4.39,BTH,BTH,PTR
6873387,1.26,BTH,MCR,BTH
6861918,0.65,TRN,BTH,SOG
10908452,0.48,TRN,BTH,SOG
6821041,0.12,PTR,PTR,PTR
6810323,0.89,BTH,BTH,ORP
6810322,3.29,BTH,BTH,ORP
6810417,2.17,PTR,PTR,PTR
6810480,0.68,PTR,PTR,PTR
6810483,0.8,PTR,PTR,PTR
6810413,0.72,TTH,TTH,TTH
6799203,12.19,MID,BTH,MIS
6761165,0.93,BTH,BTH,PCH
6761184,0.9,BTH,BTH,PCH
6785976,3.32,BTH,MCR,MCR
6785983,1.81,SOG,SOG,MLC
6785977,1.27,MIE,MIE,MIE
6812336,1.93,PTR,PTR,PTR
6898830,1.11,BTH,BTH,PCH
6864754,1.58,CZH,AVP,LUZ
6864773,0.43,BTH,MIS,BTH
6864764,0.48,BTH,MIS,AVH
6864769,3.93,BTH,BTH,MIS
6786070,0.67,RGA,RGA,RGA
6785873,2.01,TTH,SGH,SGH
6785878,0.49,PTR,PTR,PTR
6786069,0.61,PTR,PTR,PTR
10890965,3.77,MCR,PTR,PTR
6785888,1.16,MIE,MIE,MIE
6851170,3.43,ORH,BTH,AVP
6851169,0.95,ORH,SRS,PTR
6811147,4.16,TTH,TTH,TTH
6888817,0.27,ORH,BTH,LUZ
6888809,2.22,BTH,ORH,TRN
6864763,0.9,BTH,BTH,CZH
10905706,1.48,BTH,ORH,BTH
6797844,2.5,BTH,BTH,MIE
6797767,1.73,BTH,MIE,BTH
6797851,7.11,BTH,MCR,BTH
6797848,1.73,BTH,BTH,MCR
6797858,3.33,MIE,BTH,MIE
6785801,3.39,MIE,MCR,MLC
6858038,4.57,MIS,BTH,MIS
6857948,4.17,MIS,BTH,TRN
6857957,3.22,MIS,BTH,BTH
10905732,3.31,BTH,MIS,BTH
6873596,2.97,TRN,ORH,ORH
6888814,0.8,LU8,LUZ,LUZ
6888818,0.32,BTH,BTH,LUZ
6888811,2.56,AVP,BTH,BTH
10911898,3,TRN,BTH,BTH
10911897,3.01,BTH,TRN,BTH
6888816,1.45,TRN,BTH,BTH
6868114,1.25,BTH,BTH,BTH
6868111,0.47,BTH,BTH,BTH
6797849,1.36,BTH,BTH,MCR
6864757,0.33,BTH,MIS,MIS
6864772,2.28,MIS,MIS,BTH
6864771,1.65,BTH,AVH,AVH
6864770,1.02,AVH,BTH,AVP
6864755,0.2,BTH,BTH,BTH
6854435,4.02,BTH,BTH,PTR
6854373,3.49,BTH,BTH,PTR
10905736,5.44,MIS,BTH,MIS
10905734,6.66,BTH,MIS,BTH
10905737,4.89,BTH,MIS,BTH
6857950,3.22,MIS,BTH,MIS
6858032,2.31,MIS,BTH,PPR
6857951,4.06,TRN,BTH,MIS
6857953,0.9,PPR,BTH,MIS
6857954,1.45,BTH,PPR,BTH
6857946,0.5,BTH,PPR,BTH
6857960,0.62,BTH,TRN,BTH
6857956,2.49,MIS,BTH,MIS
6857947,3.58,BTH,TRN,BTH
6857952,4.85,BTH,MIS,BTH
6857955,0.74,PPR,BTH,BTH
6818270,0.86,BTH,MIS,BTH
6818352,10.54,BTH,MIS,BTH
6818265,2.33,BTH,MIS,BTH
6818261,2.04,BTH,MIS,BTH
6818359,3.11,MIS,BTH,BTH
6818363,4.71,MIS,BTH,BTH
6818274,2.26,MIS,BTH,MIS
6818351,2.1,MIS,BTH,MIS
6818361,2.33,BTH,MIS,BTH
6818355,4.2,BTH,MIS,BTH
6818358,1.35,MIS,BTH,MIS
6818357,2.25,MIS,BTH,MIS
6818269,2.31,MIS,BTH,MIS
6818354,0.93,MIS,BTH,MIS
6874368,0.35,TTH,TTH,TTH
6811228,2.66,BDH,BDH,ORH
6811225,0.77,BDH,BDH,BDH
6811226,0.88,BDH,BDH,BDH
6811230,0.82,BDH,ORH,BDH
6811224,2.08,ORH,BDH,BDH
6811229,0.41,BDH,ORH,BDH
6811227,0.57,BDH,ORH,BDH
6811231,1.21,BDH,BDH,BDH
6818356,3.16,BTH,MIS,BTH
6818264,1.03,BTH,MIS,BTH
6818272,3.55,BTH,MIS,MIS
6818271,7.16,BTH,MIS,MIS
6764808,1.59,BTH,BTH,ORH
6764805,1.77,BTH,BTH,ORH
6764807,1.73,BTH,BTH,ORH
6893929,8.91,TTH,MIE,BTH
6893919,3.66,PTR,PTR,PTR
6776156,0.95,BTH,AVP,TRN
6798725,0.86,LU8,LUZ,LUZ
6798730,0.3,LU8,PTR,PTR
6798726,1.54,LU8,LUZ,BTH
6798728,1.83,LU8,TRN,TRN
6893930,5.93,TTH,MIE,BTH
10910509,4.88,MLG,MLG,MLG
6776140,3.07,ORH,FVL,BTH
6776158,0.87,ORH,FVL,BTH
10905683,5.02,ORH,FVL,BTH
10905684,0.85,BTH,VES,BTH
10905685,0.86,BTH,TRE,BTH
6776159,0.4,ORH,TRE,BTH
6776153,14.28,BTH,TRN,BTH
6776155,1.09,BTH,ORH,TRN
6776157,7.19,BTH,ORH,TRN
6860171,1.78,BTH,MIS,BTH
6860167,1.39,BTH,MIS,BTH
6860168,0.3,BTH,MIS,BTH
6860166,0.58,TRN,BTH,BTH
10905504,5,TTH,TTP,PTR
10905511,0.32,TTH,TTP,PTR
6806541,6.6,ORH,TRN,MIS
6858693,0.68,SGH,BTH,TTH
6858690,0.5,SGH,BTH,TTH
6763381,1.25,MIS,BTH,MIS
6763385,0.54,BTH,MIS,BTH
10910508,4.42,PTR,PTR,PTR
6865067,1.41,BTH,BTP,PTR
10908404,5.73,CZH,BTH,BTH
10908405,18.67,BTH,MIS,BTH
10908509,4.17,LU6,LUZ,LUZ
6876288,0.94,BTH,BTH,TRN
6876294,0.35,BTH,BTH,TRN
6876295,1.47,TRN,BTH,BTH
6876278,2.16,TRN,BTH,BTH
6876281,1.12,TRN,BTH,BTH
6876280,3.26,BTH,TRN,BTH
6876289,1.67,BTH,TRN,BTH
6876287,1.49,BTH,BTH,TRN
6876277,0.45,BTH,BTH,TRN
6876296,0.34,BTH,BTH,TRN
6863389,1.88,MIE,TTH,MIE
6863374,0.75,PTR,TTH,TTP
6897276,7.41,LUZ,LUZ,LUZ
6897265,3.17,MLG,MLG,SOG
6897267,9.37,LUZ,LUZ,LUZ
6863380,2.45,ORP,MIE,PTR
6861009,1.38,TTH,TTH,PTR
10910379,2.66,ORH,CZH,TTH
6846811,4.65,ORH,CZH,BTH
6846815,3.45,ORH,CZH,BTH
10910398,4.21,ORH,TRN,BTH
6846812,1.36,LUZ,LUZ,LUZ
6846807,1.27,LUZ,LUZ,LUZ
6846816,0.29,LUZ,LUZ,LUZ
6846818,1.73,LUZ,LUZ,LUZ
6846817,0.66,LUZ,LUZ,LUZ
6846813,6.42,ORH,TRN,BTH
6812150,2.56,SGH,TRN,ORH
6812142,8.49,BTH,MIS,BTH
6812143,1.48,SGH,TRN,TTH
