system:index,belongsTo,pointID,.geo
0000000000000000b048_00000000000000000594,63031,6812140,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000b0f7_000000000000000032e1,63200,6830095,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000b2de_00000000000000004508,63368,6774811,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000ba25_00000000000000001a81,63291,6773837,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000c2f9_00000000000000001a9b,63372,6762648,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000d5f1_00000000000000004508,63368,10891062,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000ddad_00000000000000000594,63031,6781591,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000e426_00000000000000004062,63226,6828352,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001fda_00000000000000000bf3,63406,13273361,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000004007_00000000000000007b04,63022,13292158,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000041c7_00000000000000002287,63131,13293884,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000060ac_000000000000000026c4,63332,6811098,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000006509_00000000000000006e97,63242,6869993,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000079f6_00000000000000004508,63368,6801804,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000008dd4_000000000000000071b7,63333,6894823,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000091e0_00000000000000003c5c,63201,6876535,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000009e63_000000000000000071b7,63333,6781265,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000a075_000000000000000041cb,63050,6789553,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000de44_00000000000000000d62,63453,6857686,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000dee7_00000000000000001538,63210,10896572,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ceb_000000000000000041cb,63050,6888566,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003313_000000000000000018af,63196,13285141,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000004181_000000000000000034c3,63149,13293683,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000052fc_00000000000000003578,63273,6874887,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007b6c_000000000000000021ec,63107,10889147,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000009bf1_00000000000000005b8f,63033,6789138,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000009e76_00000000000000002013,63058,6786559,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000ad94_00000000000000006e97,63242,4596351,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000af9e_0000000000000000530d,63422,6797844,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000ba0a_00000000000000008833,63180,6764620,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000bab5_0000000000000000409b,63356,6854368,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000d660_0000000000000000888f,63185,6752272,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032_000000000000000012c2,63229,6838878,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000021fd_0000000000000000828a,63036,13275390,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000031e0_000000000000000075fd,63306,13284555,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003bf5_00000000000000007708,63148,13289814,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007f51_0000000000000000146a,63005,6777121,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000084e4_000000000000000080db,63444,6758232,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000887d_0000000000000000082d,63143,6818322,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000008d9f_000000000000000071b7,63333,6894999,"{""type"":""MultiPoint"",""coordinates"":[]}"
