system:index,ID_PARCEL,soc_0_5cm,soc_15_30cm,soc_5_15cm,.geo
0000000000000000d5f1,10891062,399.5393258426967,148.48314606741576,240.80898876404495,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000ddad,6781591,356.21739130434787,128.94565217391306,195.05434782608697,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000e426,6828352,365.8191489361702,122.0,184.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001fda,13273361,365.7865168539326,137.6292134831461,186.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000004007,13292158,399.30434782608694,135.82608695652172,213.3913043478261,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000041c7,13293884,444.06611570247935,185.78512396694214,260.70247933884303,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000060ac,6811098,316.978021978022,123.39560439560441,186.6043956043956,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000006509,6869993,619.4782608695652,222.54347826086953,310.02173913043475,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000079f6,6801804,415.72826086956525,135.3913043478261,228.39130434782606,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000008dd4,6894823,438.0869565217392,182.2173913043478,227.86956521739128,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000091e0,6876535,358.19318181818176,144.86363636363632,208.7954545454545,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000009e63,6781265,421.6206896551724,142.66666666666669,236.1724137931035,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000a075,6789553,399.72093023255815,136.76744186046514,191.2325581395349,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000de44,6857686,351.05882352941177,144.76470588235293,190.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000dee7,10896572,366.0,141.0,193.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ceb,6888566,460.2604166666667,133.60416666666669,226.59375000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003313,13285141,374.61052631578946,169.3684210526316,234.47368421052633,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000004181,13293683,324.24752475247516,124.22772277227722,202.73267326732676,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000052fc,6874887,361.70212765957444,124.87234042553193,195.02127659574467,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007b6c,10889147,332.2307692307692,120.0673076923077,185.2403846153846,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000009bf1,6789138,372.4375,141.52083333333334,228.58333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000009e76,6786559,462.0566037735849,131.52830188679246,254.9056603773585,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000ad94,4596351,449.2277227722773,184.14851485148515,261.44554455445547,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000af9e,6797844,452.94230769230774,187.55769230769232,301.5769230769231,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000ba0a,6764620,353.6630434782609,121.02173913043478,166.02173913043478,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000bab5,6854368,360.07920792079204,134.52475247524754,207.85148514851483,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000d660,6752272,496.6,178.8,275.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032,6838878,344.24107142857144,118.21428571428571,191.12499999999997,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000021fd,13275390,339.0909090909091,137.43434343434345,207.5757575757576,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000031e0,13284555,481.50450450450455,151.51351351351354,254.13513513513516,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003bf5,13289814,362.68181818181813,155.0,176.37272727272725,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007f51,6777121,402.5363636363637,157.98181818181817,221.99090909090913,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000084e4,6758232,358.99099099099095,128.17117117117115,202.34234234234236,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000887d,6818322,310.0619469026549,135.98230088495575,223.88495575221242,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000008d9f,6894999,329.8198198198198,144.67567567567568,228.24324324324326,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000009dd4,6818875,353.5,118.93749999999999,205.18749999999997,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000ae1a,6778739,448.98198198198196,187.4954954954955,267.98198198198196,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000768,6819109,330.50819672131144,147.54098360655738,179.8114754098361,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005624,6859238,352.0,130.0,200.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000093f2,6820343,400.38983050847463,165.08474576271186,202.1271186440678,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000aee1,6813844,351.9593495934959,181.21951219512195,320.4146341463414,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000b468,6821285,491.14516129032256,152.94354838709677,243.8225806451613,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000c873,6855982,472.7,165.14166666666665,228.6,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000de7a,6759527,502.87878787878793,171.1287878787879,266.65909090909093,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000a0e9,6829383,470.6842105263159,206.5639097744361,240.91729323308275,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000e112,6843963,365.61379310344824,123.22758620689655,198.44137931034484,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000e33f,6786131,339.6950354609929,134.74468085106383,176.51063829787233,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000054f4,6762300,365.45454545454544,126.65034965034967,195.38461538461536,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000006653,6766412,531.2112676056338,172.72535211267606,272.0633802816901,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007953,6799809,418.97297297297297,203.3378378378378,234.0472972972973,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000008db0,6856393,330.60563380281695,146.3098591549296,209.78169014084506,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000009457,6882879,395.67346938775506,157.2108843537415,233.39455782312925,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000e4ca,6858199,402.7435897435897,150.85897435897436,222.76923076923075,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000209c,13273768,710.7974683544304,248.86708860759492,331.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002526,13277024,376.57142857142856,112.72857142857144,178.95,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003233,13284709,396.2582781456954,213.9470198675497,200.96026490066228,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000009434,6810041,435.15,153.25,219.11250000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000b558,6863913,396.63576158940407,153.9933774834437,273.4834437086093,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000e647,6758094,336.8562874251497,134.4191616766467,195.4311377245509,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006da,6889728,471.320987654321,173.5493827160494,252.6851851851852,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001f99,13273201,312.2098765432098,135.10493827160494,190.67283950617283,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000276a,13278255,318.3658536585366,133.8292682926829,198.77439024390242,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000052af,6775255,438.1913580246914,157.17283950617283,256.0308641975309,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000543f,10899109,330.7810218978101,139.35036496350364,236.99999999999997,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000b419,6814811,423.0,150.66666666666666,210.57407407407405,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000b9c6,10891561,354.656050955414,134.18471337579618,185.21019108280254,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000c870,6855976,410.62576687116564,154.68711656441715,200.8895705521472,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008fe,6867248,356.39325842696627,126.39325842696628,190.61235955056182,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001f20,13272936,472.7965116279069,168.6220930232558,277.8895348837209,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000025d8,13277411,322.0588235294118,141.48823529411766,179.26470588235296,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000320c,13284632,300.8474576271186,123.93220338983052,180.29943502824858,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000b3f1,6782803,403.37640449438203,166.6573033707865,210.561797752809,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000d488,6808052,400.32446808510633,136.80319148936167,204.49999999999997,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000e074,6843960,408.93922651933707,127.02209944751382,206.60220994475137,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000e4cf,6858292,394.3891891891892,156.02702702702703,213.80000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000023e5,13276491,369.44385026737973,131.03743315508024,198.78609625668446,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000006317,10905909,392.6373626373626,144.56593406593407,207.5714285714286,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007c76,6862016,394.5384615384615,227.14285714285714,203.2087912087912,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000088d9,10907340,335.5837563451777,129.91878172588832,207.87309644670054,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000009ddc,10911800,432.21243523316065,166.36269430051814,241.9119170984456,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002b4d,13280679,336.2060301507538,147.98994974874373,198.97989949748742,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000006855,6764073,311.5980392156863,119.76470588235296,180.80882352941177,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000775c,6787665,368.8349999999999,131.495,212.09499999999997,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000008fb7,6751497,430.3627450980392,151.44117647058826,203.4950980392157,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000b5b2,6770468,317.1830357142857,127.85267857142857,186.75000000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000b161,6828512,307.7942386831276,118.00411522633745,200.99176954732508,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000d0d2,6831814,597.7206477732794,190.34008097165994,306.8097165991903,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000093,6882321,502.6588235294118,136.76078431372548,207.2235294117647,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005b85,6840684,317.73461538461544,150.4423076923077,216.82307692307694,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000031e2,13284557,358.7404580152672,125.5152671755725,184.2519083969466,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000aa2a,273911,539.7908745247149,185.60456273764257,296.2623574144487,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000009523,6763274,358.8509090909091,164.3090909090909,208.72000000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000008737,10903736,566.0314685314686,202.38461538461536,297.00349650349654,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000d57c,6892958,365.35273972602744,157.89041095890414,182.53082191780823,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003219,13284659,355.2154882154883,196.95286195286195,227.4781144781145,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000039a5,13288613,404.758389261745,187.31543624161074,238.30872483221475,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000df34,6819868,354.70261437908493,207.4313725490196,211.90522875816993,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005a26,6816438,360.5188405797102,144.88115942028986,187.12753623188408,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000006415,6828794,367.58501440922197,126.507204610951,205.7608069164265,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000361e,13286820,368.44535519125685,138.3551912568306,203.1666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d4a,13271860,338.2153465346535,137.3118811881188,189.38613861386136,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000095f5,10898733,347.10514018691583,188.33878504672896,272.1285046728972,"{""type"":""MultiPoint"",""coordinates"":[]}"
